Datetime,MWh
2013-05-01,40884.377
2013-06-01,41207.534
2013-07-01,42524.328
2013-08-01,44302.483
2013-09-01,41238.438
2013-10-01,40654.039
2013-11-01,41229.711
2013-12-01,42111.544
2014-01-01,62026.179
2014-02-01,65101.18
2014-03-01,52770.898
2014-04-01,45853.803
2014-05-01,43857.703
2014-06-01,42207.317
2014-07-01,41176.079
2014-08-01,43478.903
2014-09-01,39607.448
2014-10-01,40559.473
2014-11-01,45724.852
2014-12-01,46028.935
2015-01-01,63567.363
2015-02-01,62397.559
2015-03-01,51183.249
2015-04-01,47983.685
2015-05-01,40990.194
2015-06-01,40457.339
2015-07-01,39211.257
2015-08-01,42366.833
2015-09-01,39191.936
2015-10-01,40154.635
2015-11-01,41900.968
2015-12-01,42075.642
2016-01-01,60467.054
2016-02-01,59626.553
2016-03-01,52869.509
2016-04-01,54721.759
2016-05-01,46693.998
2016-06-01,43206.837
2016-07-01,46053.797
2016-08-01,42316.343
2016-09-01,43450.045
2016-10-01,39854.997
2016-11-01,42392.601
2016-12-01,40678.941398999996
2017-01-01,61747.875608999995
2017-02-01,66218.277757
2017-03-01,66572.770923
2017-04-01,46178.275437
2017-05-01,39555.270495
2017-06-01,42266.569575999994
2017-07-01,41497.756
2017-08-01,41971.723
2017-09-01,42539.096
2017-10-01,39961.09
2017-11-01,43256.533
2017-12-01,42652.985
2018-01-01,57562.206
2018-02-01,58585.443235700004
2018-03-01,54523.898660000006
2018-04-01,49546.61115
2018-05-01,47538.372200000005
2018-06-01,45758.608550000004
2018-07-01,42713.44592
2018-08-01,42001.63674
2018-09-01,44569.5997
2018-10-01,42234.77702
2018-11-01,43451.21534
2018-12-01,45610.794239999996
2019-01-01,74297.69396
2019-02-01,71347.29329
2019-03-01,59140.06118
2019-04-01,49517.47894
2019-05-01,47992.371479999994
2019-06-01,42774.80054
2019-07-01,43146.22417
2019-08-01,44700.41834999999
2019-09-01,44167.72566999999
2019-10-01,44091.39735
2019-11-01,47355.73631
2019-12-01,47922.89934999999
2020-01-01,67739.12941
2020-02-01,65812.98013
2020-03-01,56161.92589999999
2020-04-01,56580.95466999999
2020-05-01,48344.08479
2020-06-01,46115.962
2020-07-01,49167.24
2020-08-01,47061.95025
