Datetime,MWh
2015-02-01,992.838
2015-03-01,111.918
2015-04-01,436.64
2015-05-01,372.74
2015-06-01,385.18
2015-07-01,334.498
2015-08-01,421.852
2015-09-01,372.558
2015-10-01,385.22
2015-11-01,439.096
2015-12-01,472.237
2016-01-01,497.14
2016-02-01,527.246
2016-03-01,493.46
2016-04-01,516.836
2016-05-01,390.512
2016-06-01,322.3
2016-07-01,308.288
2016-08-01,313.064
2016-09-01,332.938
2016-10-01,350.728
2016-11-01,784.878
2016-12-01,426.586
2017-01-01,547.614
2017-02-01,536.436
2017-03-01,473.658
2017-04-01,446.074
2017-05-01,211.933
2017-06-01,385.316
2017-07-01,321.379
2017-08-01,348.079
2017-09-01,363.512
2017-10-01,386.171
2017-11-01,369.575
2017-12-01,405.667
2018-01-01,445.341
2018-02-01,462.881
2018-03-01,406.41368
2018-04-01,448.84479000000005
2018-05-01,401.91177999999996
2018-06-01,335.38435999999996
2018-07-01,292.80644
2018-08-01,303.38633000000004
2018-09-01,304.9599
2018-10-01,353.07297000000005
2018-11-01,351.45916
2018-12-01,376.31244
2019-01-01,442.22393000000005
2019-02-01,527.15247
2019-03-01,411.85073
2019-04-01,469.12417
2019-05-01,390.25059
2019-06-01,392.59975
2019-07-01,334.57714
2019-08-01,300.69214
2019-09-01,326.76679
2019-10-01,736.70785
2019-11-01,453.86077
2019-12-01,442.83161
2020-01-01,442.81343
2020-02-01,510.25599000000005
2020-03-01,411.82568
2020-04-01,354.47632
2020-05-01,221.12239
2020-06-01,236.031
2020-07-01,248.798
2020-08-01,270.581
2020-09-01,279.456
2020-10-01,261.469
2020-11-01,282.828
2020-12-01,591.12
2021-01-01,79.693
2021-02-01,439.08
2021-03-01,420.683
2021-04-01,452.864
2021-05-01,341.151
2021-06-01,292.84
2021-07-01,270.782
2021-08-01,264.149
2021-09-01,285.729
2021-10-01,282.709
2021-11-01,296.624
2021-12-01,346.173
2022-01-01,419.065
2022-02-01,502.882
2022-03-01,439.658
2022-04-01,460.417
2022-05-01,372.993
2022-06-01,295.365
2022-07-01,259.845
2022-08-01,272.416
2022-09-01,265.046
