Dia de Data Escala de Tempo 1 CE Simp 4;Data Escala de Tempo 1 CE Simp 4;Período Exibido CE Simp 4;Subsistema;Selecione Tipo de CE Simp 4
25 de março de 1999;25/03/1999 00:00:00;Dia;Sul;177,69048
26 de março de 1999;26/03/1999 00:00:00;Dia;Sul;173,58768
27 de março de 1999;27/03/1999 00:00:00;Dia;Sul;153,61152
28 de março de 1999;28/03/1999 00:00:00;Dia;Sul;130,09128
29 de março de 1999;29/03/1999 00:00:00;Dia;Sul;165,51408
30 de março de 1999;30/03/1999 00:00:00;Dia;Sul;166,56096
31 de março de 1999;31/03/1999 00:00:00;Dia;Sul;164,50104
1 de abril de 1999;01/04/1999 00:00:00;Dia;Sul;161,1708
2 de abril de 1999;02/04/1999 00:00:00;Dia;Sul;121,2768
3 de abril de 1999;03/04/1999 00:00:00;Dia;Sul;131,78688
4 de abril de 1999;04/04/1999 00:00:00;Dia;Sul;120,80136
5 de abril de 1999;05/04/1999 00:00:00;Dia;Sul;162,87336
6 de abril de 1999;06/04/1999 00:00:00;Dia;Sul;167,53176
7 de abril de 1999;07/04/1999 00:00:00;Dia;Sul;165,52632
8 de abril de 1999;08/04/1999 00:00:00;Dia;Sul;162,46896
9 de abril de 1999;09/04/1999 00:00:00;Dia;Sul;161,268
10 de abril de 1999;10/04/1999 00:00:00;Dia;Sul;143,53464
11 de abril de 1999;11/04/1999 00:00:00;Dia;Sul;119,31432
12 de abril de 1999;12/04/1999 00:00:00;Dia;Sul;158,6328
13 de abril de 1999;13/04/1999 00:00:00;Dia;Sul;160,4268
14 de abril de 1999;14/04/1999 00:00:00;Dia;Sul;162,25776
15 de abril de 1999;15/04/1999 00:00:00;Dia;Sul;163,13688
16 de abril de 1999;16/04/1999 00:00:00;Dia;Sul;156,90912
17 de abril de 1999;17/04/1999 00:00:00;Dia;Sul;130,4304
18 de abril de 1999;18/04/1999 00:00:00;Dia;Sul;112,49232
19 de abril de 1999;19/04/1999 00:00:00;Dia;Sul;148,18752
20 de abril de 1999;20/04/1999 00:00:00;Dia;Sul;154,224
21 de abril de 1999;21/04/1999 00:00:00;Dia;Sul;133,74048
22 de abril de 1999;22/04/1999 00:00:00;Dia;Sul;158,17824
23 de abril de 1999;23/04/1999 00:00:00;Dia;Sul;160,75224
24 de abril de 1999;24/04/1999 00:00:00;Dia;Sul;142,8816
25 de abril de 1999;25/04/1999 00:00:00;Dia;Sul;118,55376
26 de abril de 1999;26/04/1999 00:00:00;Dia;Sul;154,68024
27 de abril de 1999;27/04/1999 00:00:00;Dia;Sul;162,01392
28 de abril de 1999;28/04/1999 00:00:00;Dia;Sul;163,36968
29 de abril de 1999;29/04/1999 00:00:00;Dia;Sul;162,96096
30 de abril de 1999;30/04/1999 00:00:00;Dia;Sul;161,49672
1 de maio de 1999;01/05/1999 00:00:00;Dia;Sul;124,8036
2 de maio de 1999;02/05/1999 00:00:00;Dia;Sul;116,1768
3 de maio de 1999;03/05/1999 00:00:00;Dia;Sul;156,45336
4 de maio de 1999;04/05/1999 00:00:00;Dia;Sul;163,65336
5 de maio de 1999;05/05/1999 00:00:00;Dia;Sul;166,3008
6 de maio de 1999;06/05/1999 00:00:00;Dia;Sul;165,97368
7 de maio de 1999;07/05/1999 00:00:00;Dia;Sul;160,42392
8 de maio de 1999;08/05/1999 00:00:00;Dia;Sul;138,92136
9 de maio de 1999;09/05/1999 00:00:00;Dia;Sul;113,91264
10 de maio de 1999;10/05/1999 00:00:00;Dia;Sul;153,62832
11 de maio de 1999;11/05/1999 00:00:00;Dia;Sul;160,95
12 de maio de 1999;12/05/1999 00:00:00;Dia;Sul;161,31912
13 de maio de 1999;13/05/1999 00:00:00;Dia;Sul;158,5824
14 de maio de 1999;14/05/1999 00:00:00;Dia;Sul;158,796
15 de maio de 1999;15/05/1999 00:00:00;Dia;Sul;138,17616
16 de maio de 1999;16/05/1999 00:00:00;Dia;Sul;114,11904
17 de maio de 1999;17/05/1999 00:00:00;Dia;Sul;153,91152
18 de maio de 1999;18/05/1999 00:00:00;Dia;Sul;159,57576
19 de maio de 1999;19/05/1999 00:00:00;Dia;Sul;160,59936
20 de maio de 1999;20/05/1999 00:00:00;Dia;Sul;159,42792
21 de maio de 1999;21/05/1999 00:00:00;Dia;Sul;158,83032
22 de maio de 1999;22/05/1999 00:00:00;Dia;Sul;138,55296
23 de maio de 1999;23/05/1999 00:00:00;Dia;Sul;114,42024
24 de maio de 1999;24/05/1999 00:00:00;Dia;Sul;152,78328
25 de maio de 1999;25/05/1999 00:00:00;Dia;Sul;160,28208
26 de maio de 1999;26/05/1999 00:00:00;Dia;Sul;164,02704
27 de maio de 1999;27/05/1999 00:00:00;Dia;Sul;162,08256
28 de maio de 1999;28/05/1999 00:00:00;Dia;Sul;163,96512
29 de maio de 1999;29/05/1999 00:00:00;Dia;Sul;144,59112
30 de maio de 1999;30/05/1999 00:00:00;Dia;Sul;115,28976
31 de maio de 1999;31/05/1999 00:00:00;Dia;Sul;150,5328
1 de junho de 1999;01/06/1999 00:00:00;Dia;Sul;157,4844
2 de junho de 1999;02/06/1999 00:00:00;Dia;Sul;159,93648
3 de junho de 1999;03/06/1999 00:00:00;Dia;Sul;131,21688
4 de junho de 1999;04/06/1999 00:00:00;Dia;Sul;149,1552
5 de junho de 1999;05/06/1999 00:00:00;Dia;Sul;135,17376
6 de junho de 1999;06/06/1999 00:00:00;Dia;Sul;115,06104
7 de junho de 1999;07/06/1999 00:00:00;Dia;Sul;155,78856
8 de junho de 1999;08/06/1999 00:00:00;Dia;Sul;163,57344
9 de junho de 1999;09/06/1999 00:00:00;Dia;Sul;166,7952
10 de junho de 1999;10/06/1999 00:00:00;Dia;Sul;161,06592
11 de junho de 1999;11/06/1999 00:00:00;Dia;Sul;159,90672
12 de junho de 1999;12/06/1999 00:00:00;Dia;Sul;142,92144
13 de junho de 1999;13/06/1999 00:00:00;Dia;Sul;117,02136
14 de junho de 1999;14/06/1999 00:00:00;Dia;Sul;156,7788
15 de junho de 1999;15/06/1999 00:00:00;Dia;Sul;160,23
16 de junho de 1999;16/06/1999 00:00:00;Dia;Sul;162,13512
17 de junho de 1999;17/06/1999 00:00:00;Dia;Sul;162,9096
18 de junho de 1999;18/06/1999 00:00:00;Dia;Sul;163,6128
19 de junho de 1999;19/06/1999 00:00:00;Dia;Sul;141,29568
20 de junho de 1999;20/06/1999 00:00:00;Dia;Sul;117,57648
21 de junho de 1999;21/06/1999 00:00:00;Dia;Sul;154,26792
22 de junho de 1999;22/06/1999 00:00:00;Dia;Sul;158,75328
23 de junho de 1999;23/06/1999 00:00:00;Dia;Sul;159,85728
24 de junho de 1999;24/06/1999 00:00:00;Dia;Sul;161,7324
25 de junho de 1999;25/06/1999 00:00:00;Dia;Sul;161,49792
26 de junho de 1999;26/06/1999 00:00:00;Dia;Sul;139,91472
27 de junho de 1999;27/06/1999 00:00:00;Dia;Sul;117,39648
28 de junho de 1999;28/06/1999 00:00:00;Dia;Sul;154,91976
29 de junho de 1999;29/06/1999 00:00:00;Dia;Sul;159,11328
30 de junho de 1999;30/06/1999 00:00:00;Dia;Sul;158,45736
1 de julho de 1999;01/07/1999 00:00:00;Dia;Sul;158,82744
2 de julho de 1999;02/07/1999 00:00:00;Dia;Sul;163,27704
